doi_1,doi_2
10.1109/ISCA.2000.854391,10.1145/339647.339682
10.1145/139669.139730,10.1109/ISCA.1992.753319
10.1109/IDEAS.2007.4318112,10.1109/IDEAS.2007.5
10.1109/QEST.2004.1348055,10.1109/QEST.2004.10021
10.1145/2897000.2897001,10.1109/SEmotion.2016.010
10.1145/1062455.1062637,10.1109/ICSE.2005.1553682
10.4108/ICST.BIONETICS2007.2413,10.1109/BIMNICS.2007.4610103
10.1590/S0104-65002005000100006,10.1007/BF03192366
10.1007/978-3-7091-6783-0_6,10.2312/VisSym/VisSym00/053-062
10.1145/2897053.2897069,10.1109/SEAMS.2016.016
10.1109/ICIAP.2007.4362817,10.1109/ICIAP.2007.63
10.1109/DATE.2000.840844,10.1145/343647.343861
10.1109/ICIAP.2007.4362865,10.1109/ICIAP.2007.90
10.2312/EGGH/EGGH04/007-014,10.1145/1058129.1058131
10.1145/1062455.1062507,10.1109/ICSE.2005.1553566
10.1109/HOT-P2P.2005.2,10.1109/PTPSYS.2005.2
10.1109/ICALT.2006.1652380,10.1109/ICALT.2006.38
10.1109/DATE.2000.840286,10.1145/343647.343784
10.1109/DATE.1999.761175,10.1145/307418.307555
10.1109/ICIAP.2007.4362858,10.1109/ICIAP.2007.127
10.1109/DATE.2008.4484766,10.1145/1403375.1403554
10.1145/1233501.1233573,10.1109/ICCAD.2006.320058
10.1109/HICSS.2009.169,10.1109/HICSS.2009.682
10.1109/ICALT.2006.1652421,10.1109/ICALT.2006.83
10.1145/2897053.2897060,10.1109/SEAMS.2016.024
10.1145/2897667.2897673,10.1109/FormaliSE.2016.012
10.4108/ICST.BIONETICS2007.2413,10.1109/BIMNICS.2007.4610103
10.1109/ICALT.2006.1652421,10.1109/ICALT.2006.83
10.1145/2897667.2897673,10.1109/FormaliSE.2016.012
10.1109/SMI.2002.1003552,10.1109/SMI.2002.10014
10.1109/ICIAP.2007.4362834,10.1109/ICIAP.2007.89
10.1109/ICIAP.2007.4362759,10.1109/ICIAP.2007.118
10.1109/ICIAP.2007.4362874,10.1109/ICIAP.2007.93
10.4108/ICST.BIONETICS2007.2413,10.1109/BIMNICS.2007.4610103
10.4108/ICST.BIONETICS2007.2458,10.1109/BIMNICS.2007.4610092
10.1109/ICIAP.2007.4362822,10.1109/ICIAP.2007.26
