level,session_date,journal_number_open,citation_number_open,h_index_open,journal_number_real,citation_number_real,h_index_real
2,2016-12-02,19,184,8,19,420,9
2,2016-12-02,12,34,4,11,216,9
2,2016-12-02,3,189,7,2,327,8
2,2016-12-02,4,63,5,9,218,8
2,2016-12-02,3,123,6,19,412,11
2,2016-12-02,11,86,5,14,261,8
2,2016-12-02,7,29,3,6,56,4
2,2016-12-02,13,63,6,16,124,6
2,2016-12-02,5,35,4,5,139,6
2,2016-12-02,3,127,6,8,228,8
2,2016-12-02,5,161,7,6,468,10
2,2016-12-02,4,19,3,13,157,8
2,2016-12-02,7,63,5,7,152,7
2,2016-12-02,9,272,8,12,558,10
2,2016-12-02,16,161,8,20,335,11
2,2016-12-02,5,64,5,8,175,7
2,2016-12-02,11,35,4,13,145,7
2,2016-12-02,3,104,7,3,200,7
2,2016-12-02,10,65,5,9,155,8
2,2016-12-02,4,76,4,5,155,4
2,2016-12-02,14,108,6,15,235,8
2,2016-12-02,11,46,4,19,203,9
2,2016-12-02,0,0,0,0,0,0
2,2016-12-02,9,68,6,9,160,8
2,2016-12-02,9,229,7,14,523,11
2,2016-12-02,9,237,9,10,327,11
2,2016-12-02,13,19,3,10,86,6
2,2016-12-02,15,95,5,20,543,15
2,2016-12-02,16,278,10,16,499,11
2,2016-12-02,9,286,7,12,1089,12
2,2016-12-02,5,114,7,5,181,7
2,2016-12-02,14,20,4,14,89,6
2,2016-12-02,7,76,5,10,213,8
2,2016-12-02,2,43,4,6,2229,9
2,2016-12-02,11,229,9,12,311,11
2,2016-12-02,8,45,4,6,92,7
2,2016-12-02,6,73,6,5,154,7
2,2016-12-02,3,49,4,5,123,5
2,2016-12-02,12,173,9,14,336,11
2,2016-12-02,5,60,3,5,195,6
2,2016-12-02,3,95,5,3,173,6
2,2016-12-02,2,330,9,2,406,8
2,2016-12-02,22,274,11,25,489,14
2,2016-12-02,4,93,6,6,165,6
2,2016-12-02,4,66,4,22,263,9
2,2016-12-02,9,103,6,8,209,8
2,2016-12-02,9,197,8,10,325,10
2,2016-12-02,21,107,6,20,229,9
2,2016-12-02,4,49,3,18,466,13
2,2016-12-02,3,172,6,6,316,6
2,2016-12-02,6,288,9,13,689,14
2,2016-12-02,3,126,6,8,197,6
2,2016-12-02,3,97,6,3,172,7
2,2016-12-02,5,77,5,5,125,7
2,2016-12-02,2,122,6,3,179,7
2,2016-12-02,13,272,9,13,475,12
2,2016-12-02,3,74,5,10,188,7
2,2016-12-02,3,57,3,6,152,6
2,2016-12-02,13,48,5,11,136,6
2,2016-12-02,7,55,4,10,1101,7
2,2016-12-02,5,309,9,6,449,9
2,2016-12-02,1,205,7,2,352,9
2,2016-12-02,8,91,7,12,142,8
2,2016-12-02,3,96,6,5,135,6
2,2016-12-02,14,144,6,23,444,12
2,2016-12-02,14,129,7,20,267,8
2,2016-12-02,5,45,3,5,123,4
2,2016-12-02,4,120,8,9,354,13
2,2016-12-02,2,39,4,2,129,6
2,2016-12-02,3,44,5,4,133,7
2,2016-12-02,7,379,12,9,848,15
2,2016-12-02,6,127,6,17,321,9
2,2016-12-02,8,29,3,7,153,6
2,2016-12-02,3,35,5,8,132,7
2,2016-12-02,16,165,7,19,334,9
2,2016-12-02,8,52,4,8,168,8
2,2016-12-02,8,74,7,9,153,7
2,2016-12-02,12,151,8,18,187,7
2,2016-12-02,10,126,7,23,283,10
2,2016-12-02,1,47,3,14,312,6
2,2016-12-02,7,293,8,8,422,9
2,2016-12-02,5,49,5,10,448,12
2,2016-12-02,7,128,6,9,305,9
2,2016-12-02,4,96,5,5,134,7
2,2016-12-02,4,51,5,5,447,5
2,2016-12-02,1,52,5,2,194,7
2,2016-12-02,9,140,7,11,228,9
2,2016-12-02,9,46,4,10,191,6
2,2016-12-02,4,27,4,12,238,11
2,2016-12-02,5,60,6,4,120,6
2,2016-12-02,7,46,5,7,148,7
2,2016-12-02,3,66,6,3,138,8
2,2016-12-02,6,46,4,9,120,5
2,2016-12-02,12,273,9,11,423,10
2,2016-12-02,9,20,4,15,306,6
2,2016-12-02,0,32,4,1,80,6
2,2016-12-02,1,4,2,17,417,12
2,2016-12-02,5,46,4,5,85,6
2,2016-12-02,13,144,6,12,269,8
2,2016-12-02,8,169,7,12,237,8
2,2016-12-02,18,131,6,20,277,9
2,2016-12-02,2,69,3,15,730,12
2,2016-12-02,2,10,2,3,52,3
2,2016-12-02,8,27,4,19,129,7
2,2016-12-02,7,365,9,7,486,9
2,2016-12-02,17,93,6,13,275,10
2,2016-12-02,6,85,6,4,361,10
2,2016-12-02,7,119,6,10,286,10
2,2016-12-02,5,125,7,11,455,12
2,2016-12-02,7,123,7,9,237,9
2,2016-12-02,10,357,10,12,545,12
2,2016-12-02,4,45,4,3,123,6
2,2016-12-02,8,69,4,8,128,6
2,2016-12-02,6,22,3,11,941,11
2,2016-12-02,3,70,4,3,120,6
2,2016-12-02,1,40,3,28,439,13
2,2016-12-02,7,86,6,11,277,10
2,2016-12-02,8,134,6,6,104,5
2,2016-12-02,6,92,6,14,222,8
2,2016-12-02,5,102,6,5,158,8
2,2016-12-02,14,78,5,14,300,10
2,2016-12-02,10,66,5,9,131,6
2,2016-12-02,4,167,7,6,255,9
2,2016-12-02,9,59,5,10,143,7
2,2016-12-02,5,96,6,9,147,7
2,2016-12-02,7,168,8,11,234,6
2,2016-12-02,14,82,6,13,278,10
2,2016-12-02,3,118,7,4,189,7
2,2016-12-02,11,256,9,13,373,11
2,2016-12-02,6,91,6,5,347,11
2,2016-12-02,8,138,7,11,297,8
2,2016-12-02,8,47,4,10,105,7
2,2016-12-02,10,206,8,11,309,11
2,2016-12-02,23,273,11,23,428,13
2,2016-12-02,21,318,12,21,441,13
2,2016-12-02,9,72,7,8,130,7
2,2016-12-02,2,161,3,11,175,7
2,2016-12-02,8,61,4,11,168,7
2,2016-12-02,14,73,5,16,191,7
2,2016-12-02,4,88,4,7,179,4
2,2016-12-02,2,13,2,13,87,6
2,2016-12-02,14,96,5,15,202,8
2,2016-12-02,4,76,6,4,154,6
2,2016-12-02,12,152,7,13,294,10
2,2016-12-02,8,128,7,11,239,9
2,2016-12-02,5,142,6,5,263,8
2,2016-12-02,3,96,4,35,762,17
2,2016-12-02,5,105,6,5,308,10
2,2016-12-02,10,68,5,13,184,8
2,2016-12-02,22,988,17,26,1018,16
2,2016-12-02,5,136,5,7,243,7
2,2016-12-02,7,51,5,9,132,6
2,2016-12-02,17,325,11,16,599,13
2,2016-12-02,6,72,6,7,138,5
2,2016-12-02,6,58,5,7,130,7
2,2016-12-02,4,56,5,5,127,7
2,2016-12-02,6,26,4,11,228,8
2,2016-12-02,21,195,8,26,322,10
2,2016-12-02,16,136,7,17,519,13
2,2016-12-02,0,23,3,2,134,6
2,2016-12-02,5,37,5,7,95,6
2,2016-12-02,8,155,9,15,252,11
2,2016-12-02,6,244,9,6,338,9
2,2016-12-02,20,51,6,34,123,7
2,2016-12-02,8,105,5,5,345,9
2,2016-12-02,5,125,7,4,124,7
